name,number,street,city,state,zip,country,nhood,phone,employees,sales_vol,full_add
02 Cafe,1001,Massachusetts Ave,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 492-2233,1,68000,1001 Massachusetts Ave
1369 Coffee House,1369,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 576-1369,13,727000,1369 Cambridge St
1369 Coffee House,757,Massachusetts Ave,Cambridge,MA,02139,USA,Mid-Cambridge,(617) 576-4600,15,839000,757 Massachusetts Ave
2nd Street Cafe,89,2nd St # 1,Cambridge,MA,02141,USA,East Cambridge,(617) 661-1311,2,112000,89 2nd St # 1
9 Tastes,50,Jfk St # 1,Cambridge,MA,02138,USA,Harvard Square,(617) 547-6666,6,336000,50 Jfk St # 1
A Bc Pizza,744,Massachusetts Ave,Cambridge,MA,02139,USA,Riverside,(617) 876-4607,1,56000,744 Massachusetts Ave
Abbey-Cambridge,1755,Massachusetts Ave,Cambridge,MA,02140,USA,Aggasiz - Harvard University,(617) 714-4944,6,336000,1755 Massachusetts Ave
Abigail's,291,3rd St,Cambridge,MA,02142,USA,Kendall Square,(617) 945-9086,10,560000,291 3rd St
Aceituna Cafe,605,W Kendall St,Cambridge,MA,02142,USA,Kendall Square,(617) 252-0702,9,504000,605 W Kendall St
Alden & Harlow,40,Brattle St,Cambridge,MA,02138,USA,Harvard Square,(617) 864-2100,6,336000,40 Brattle St
Alfredo's Italian Kitchen,696,Cambridge St,Cambridge,MA,02141,USA,,(617) 491-8292,6,336000,696 Cambridge St
Algiers Coffee House,40,Brattle St # 3,Cambridge,MA,02138,USA,Harvard Square,(617) 492-1557,16,895000,40 Brattle St # 3
All Star Pizza Bar,1238,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 547-0836,6,336000,1238 Cambridge St
All Star Sandwich Bar,1245,Cambridge St,Cambridge,MA,02139,USA,Inman Square,(617) 868-3065,12,671000,1245 Cambridge St
Al's Deli Cafe-Cambridge,1354,Massachusetts Ave,Cambridge,MA,02138,USA,Harvard Square,(617) 441-9100,6,336000,1354 Massachusetts Ave
Amelia's Trattoria,111,Harvard St,Cambridge,MA,02139,USA,Area IV,(617) 868-7600,10,560000,111 Harvard St
Andy's Diner,2030,Massachusetts Ave,Cambridge,MA,02140,USA,Porter Square,(617) 497-1444,5,280000,2030 Massachusetts Ave
Angelo's Pizza,444,Broadway,Cambridge,MA,02138,USA,Mid-Cambridge,(617) 661-8049,2,112000,444 Broadway
Anna's Taqueria,822,Somerville Ave,Cambridge,MA,02140,USA,,(617) 661-8500,27,1510000,822 Somerville Ave
Anna's Taqueria,84,Massachusetts Ave,Cambridge,MA,02139,USA,Mit,(617) 324-2662,20,1119000,84 Massachusetts Ave
Anytime Pizza,212,Western Ave,Cambridge,MA,02139,USA,Riverside,(617) 500-4567,6,336000,212 Western Ave
Aramark Education Svc,325,Main St,Cambridge,MA,02142,USA,,(617) 714-3687,22,959000,325 Main St
